Subject,Session,Group,Block,Procedure,Running,Correct_Response,Trigger,List1,List1.Cycle,List1.Sample,Prime,Target,Target2.ACC,Target2.CRESP,Target2.DurationError,Target2.OnsetDelay,Target2.OnsetTime,Target2.RESP,Target2.RT,Target2.RTTime
7,1,1,137,Procedure1,List1,6,1,1,1,137,breadth,bread,1,6,0,10,562346,6,469,562815
7,1,1,57,Procedure1,List1,6,2,2,1,57,hearth,hear,1,6,0,10,262211,6,497,262708
7,1,1,50,Procedure1,List1,6,3,3,1,50,youth,you,1,6,0,10,235949,6,504,236453
7,1,1,1,Procedure1,List1,6,8,8,1,1,career,car,1,6,0,10,52117,6,827,52944
7,1,1,87,Procedure1,List1,6,9,9,1,87,ratify,rat,1,6,0,10,374762,6,480,375242
7,1,1,16,Procedure1,List1,6,10,10,1,16,factory,fact,1,6,0,10,108392,6,607,108999
7,1,1,68,Procedure1,List1,6,11,11,1,68,pillory,pill,1,6,0,10,303480,6,611,304091
7,1,1,43,Procedure1,List1,6,15,15,1,43,seedling,seed,1,6,0,10,209688,6,533,210221
7,1,1,173,Procedure1,List1,6,16,16,1,173,warmth,warm,1,6,0,10,697407,6,469,697876
7,1,1,148,Procedure1,List1,6,17,17,1,148,fourth,four,1,6,0,10,603615,6,439,604054
7,1,1,109,Procedure1,List1,6,18,18,1,109,boyhood,boy,1,6,0,10,457299,6,430,457729
7,1,1,23,Procedure1,List1,6,19,19,1,23,eleventh,eleven,1,6,0,10,134654,6,489,135143
7,1,1,37,Procedure1,List1,6,20,20,1,37,sixth,six,1,6,0,10,187177,6,581,187758
7,1,1,38,Procedure1,List1,6,21,21,1,38,duckling,duck,1,6,0,10,190929,6,741,191670
7,1,1,186,Procedure1,List1,6,22,22,1,186,stardom,star,1,6,0,10,746179,6,504,746683
7,1,1,139,Procedure1,List1,6,23,23,1,139,manhood,man,1,6,0,10,569850,6,436,570286
7,1,1,27,Procedure1,List1,6,33,33,1,27,cashier,cash,1,6,0,10,149661,6,497,150158
7,1,1,6,Procedure1,List1,6,34,34,1,6,solidify,solid,1,6,0,10,70875,6,533,71408
