Subject,Running,Correct_Response,Trigger,List1,List1.Sample,Prime,Target,Target2.ACC,Target2.RT
7,List1,6,1,1,137,breadth,bread,1,469
7,List1,6,2,2,57,hearth,hear,1,497
7,List1,6,3,3,50,youth,you,1,504
7,List1,6,8,8,1,career,car,1,827
7,List1,6,9,9,87,ratify,rat,1,480
7,List1,6,10,10,16,factory,fact,1,607
7,List1,6,11,11,68,pillory,pill,1,611
7,List1,6,15,15,43,seedling,seed,1,533
7,List1,6,16,16,173,warmth,warm,1,469
7,List1,6,17,17,148,fourth,four,1,439
7,List1,6,18,18,109,boyhood,boy,1,430
7,List1,6,19,19,23,eleventh,eleven,1,489
7,List1,6,20,20,37,sixth,six,1,581
7,List1,6,21,21,38,duckling,duck,1,741
7,List1,6,22,22,186,stardom,star,1,504
7,List1,6,23,23,139,manhood,man,1,436
7,List1,6,33,33,27,cashier,cash,1,497
7,List1,6,34,34,6,solidify,solid,1,533
7,List1,6,35,35,156,fortify,fort,1,696
7,List1,6,36,36,182,profiteer,profit,1,886
7,List1,6,37,37,79,directory,direct,0,543
7,List1,6,38,38,146,armory,arm,1,654
7,List1,6,39,39,190,acidify,acid,1,577
7,List1,6,40,40,81,frontier,front,1,663
7,List1,6,41,41,88,humidify,humid,1,400
7,List1,6,51,51,170,witness,wit,1,572
7,List1,6,53,53,116,listen,list,1,743
7,List1,6,54,54,107,pastor,past,1,549
7,List1,6,55,55,58,banish,ban,1,513
7,List1,6,56,56,163,heathen,heath,1,475
7,List1,6,57,57,80,mister,mist,1,471
7,List1,6,58,58,180,raptor,rapt,1,663
7,List1,6,65,65,155,helpless,help,1,544
7,List1,6,66,66,11,chiefly,chief,1,509
7,List1,6,67,67,104,strongly,strong,1,428
7,List1,6,68,68,55,deafness,deaf,1,480
7,List1,6,69,69,142,deadly,dead,1,453
7,List1,6,70,70,115,sickness,sick,1,471
7,List1,6,71,71,44,worthless,worth,1,518
7,List1,6,72,72,69,thankless,thank,1,451
7,List1,6,73,73,196,toothless,tooth,1,498
7,List1,6,83,83,18,tractor,tract,1,872
7,List1,6,84,84,74,sculptor,sculpt,0,485
7,List1,6,85,85,147,selfish,self,1,495
7,List1,6,86,86,99,freshen,fresh,1,459
7,List1,6,87,87,132,debtor,debt,0,555
7,List1,6,88,88,133,prayer,pray,1,491
7,List1,6,89,89,2,professor,profess,1,796
7,List1,6,90,90,46,soften,soft,1,510
7,List1,6,91,91,65,fasten,fast,1,579
7,List1,6,104,4,49,breadth,kind,1,591
7,List1,6,105,5,113,hearth,dump,1,390
7,List1,6,106,6,157,youth,ran,1,561
7,List1,6,107,7,42,pillory,dear,1,637
7,List1,6,112,12,184,career,hick,1,559
7,List1,6,113,13,134,ratify,audit,0,572
7,List1,6,114,14,177,factory,test,1,630
7,List1,6,124,24,166,seedling,bore,1,932
7,List1,6,125,25,193,warmth,ten,1,674
7,List1,6,126,26,62,fourth,free,1,466
7,List1,6,127,27,106,boyhood,king,1,501
7,List1,6,128,28,172,eleventh,sap,1,564
7,List1,6,129,29,181,sixth,earth,1,495
7,List1,6,130,30,45,duckling,grow,1,494
7,List1,6,131,31,112,stardom,serf,0,606
7,List1,6,132,32,174,manhood,heal,1,517
7,List1,6,142,42,77,cashier,class,1,494
