w_word,stem.x,affix,whl_word_len,afx_len,stem_len,transp,afx_onset,stem_frq,stem_logfrq,whl_word_freq,whl_word_logfrq,rel_frq,prime.x,trigger,rel,afx_frq,med_splt,r1_splt,r1.5_splt,list
random,ran,dom,6,3,3,opaque,consonant,116.606,2.070429479,18.2643,1.284753233,1.61153864,random,6,related,low,low,high,high,B
dumpling,dump,ling,8,4,4,opaque,consonant,7.67457,0.938247956,0.356957,0.132566086,7.077586563,dumpling,5,related,low,high,high,high,B
kindling,kind,ling,8,4,4,opaque,consonant,409.846,2.613679063,0.951884,0.290454004,8.998598807,kindling,4,related,low,high,high,high,B
breadth,bread,th,7,2,5,opaque,consonant,76.9836,1.89200328,4.40246,0.73259156,2.58261681,breadth,1,related,low,high,high,high,A
dearth,dear,th,6,2,4,opaque,consonant,119.58,2.08127528,0.951884,0.290454004,7.16559332690214,dearth,7,related,low,high,high,high,B
hearth,hear,th,6,2,4,opaque,consonant,183.476,2.265939873,4.64044,0.751312984,3.01597326,hearth,2,related,low,high,high,high,A
youth,you,th,5,2,3,opaque,consonant,6334.67,3.801792548,63.4788,1.809416946,2.101114701,youth,3,related,low,low,high,high,A
career,car,eer,6,3,3,opaque,vowel,274.916,2.440776885,57.1725,1.764717728,1.383097617,career,8,related,low,low,high,low,A
ratify,rat,ify,6,3,3,opaque,vowel,8.68594,0.986141774,0.713913,0.233988773,4.214483273,ratify,9,related,low,high,high,high,A
testify,test,ify,7,3,4,opaque,vowel,79.4228,1.905379189,5.23536,0.794861533,2.397120891,testify,14,related,low,high,high,high,B
auditory,audit,ory,8,3,5,opaque,vowel,1.6063,0.416024404,0.356957,0.132566086,3.138241562,auditory,13,related,low,high,high,high,B
factory,fact,ory,7,3,4,opaque,vowel,448.635,2.65286011,39.2652,1.604929861,1.65294457584216,factory,10,related,low,low,high,high,A
hickory,hick,ory,7,3,4,opaque,vowel,1.24935,0.352057037,1.13036,0.328452999,1.071864276,hickory,12,related,low,low,high,low,B
pillory,pill,ory,7,3,4,opaque,vowel,13.8023,1.170329202,0.416449,0.151200942,7.740224226,pillory,11,related,low,high,high,high,A
boredom,bore,dom,7,3,4,transparent,consonant,28.497,1.469777848,15.2301,1.210321196,1.214370079,boredom,24,related,low,low,high,low,B
freedom,free,dom,7,3,4,transparent,consonant,209.652,2.323565587,101.673,2.011456252,1.155165857,freedom,26,related,low,low,high,low,B
kingdom,king,dom,7,3,4,transparent,consonant,91.7378,1.967256789,28.973,1.476730214,1.332170744,kingdom,27,related,low,low,high,low,B
serfdom,serf,dom,7,3,4,transparent,consonant,0.356957,0.132566086,0.237971,0.092710471,1.429893335,serfdom,31,related,low,low,high,low,B
stardom,star,dom,7,3,4,transparent,consonant,54.6738,1.745650865,1.13036,0.328452999,5.314766085,stardom,22,related,low,high,high,high,A
boyhood,boy,hood,7,4,3,transparent,consonant,223.871,2.351933451,4.52145,0.742053144,3.16949462,boyhood,18,related,low,high,high,high,A
manhood,man,hood,7,4,3,transparent,consonant,1024.11,3.01077047,6.06826,0.849312516,3.5449500740138,manhood,23,related,low,high,high,high,A
duckling,duck,ling,8,4,4,transparent,consonant,9.8758,1.036461213,0.297464,0.113095317,9.164492672,duckling,21,related,low,high,high,high,A
earthling,earth,ling,9,4,5,transparent,consonant,161.999,2.21218494,0.237971,0.092710471,23.861219690479,earthling,29,related,low,high,high,high,B
sapling,sap,ling,7,4,3,transparent,consonant,2.79616,0.579344509,0.713913,0.233988773,2.475950017,sapling,28,related,low,high,high,high,B
seedling,seed,ling,8,4,4,transparent,consonant,28.616,1.471526401,0.594928,0.202741082,7.258155965,seedling,15,related,low,high,high,high,A
eleventh,eleven,th,8,2,6,transparent,consonant,40.0386,1.613192537,4.69993,0.755869522,2.134220904,eleventh,19,related,low,low,high,high,A
fourth,four,th,6,2,4,transparent,consonant,319.714,2.506117918,45.274,1.665337042,1.504871298,fourth,17,related,low,low,high,high,A
growth,grow,th,6,2,4,transparent,consonant,95.4264,1.984195953,121.841,2.089343343,0.949674432,growth,30,related,low,low,low,low,B
health,heal,th,6,2,4,transparent,consonant,4.75942,0.76037875,130.587,2.119212986,0.35880242083473,health,32,related,low,low,low,low,B
sixth,six,th,5,2,3,transparent,consonant,203.227,2.310113158,16.063,1.232055391,1.875007547,sixth,20,related,low,low,high,high,A
tenth,ten,th,5,2,3,transparent,consonant,219.647,2.343698027,10.5302,1.061836841,2.207211065,tenth,25,related,low,low,high,high,B
